ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
60	TCGA-EE-A3AF-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
61	TCGA-D3-A2JH-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
62	TCGA-EE-A2GU-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
63	TCGA-FS-A1ZY-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
64	TCGA-EB-A299-01A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
65	TCGA-D9-A6EA-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
66	TCGA-EE-A29H-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
67	TCGA-EE-A20I-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
68	TCGA-EB-A4OY-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
69	TCGA-ER-A19O-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
70	TCGA-DA-A1HY-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
71	TCGA-DA-A3F5-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
72	TCGA-EE-A3J7-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
73	TCGA-RP-A694-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
74	TCGA-ER-A19L-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
75	TCGA-EE-A29R-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
76	TCGA-ER-A42K-06A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
77	TCGA-FS-A1ZM-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
78	TCGA-DA-A1I7-06A-22D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
79	TCGA-D9-A1JX-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
