ID	Sample	Cohort	Subtype	ConfidenceLevel	Study
259	TCGA-D9-A6EC-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
260	TCGA-EB-A431-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
261	TCGA-QB-A6FS-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
262	TCGA-FW-A3R5-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
263	TCGA-ER-A19G-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
264	TCGA-EE-A2ME-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
265	TCGA-EB-A44O-01A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
266	TCGA-IH-A3EA-01A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
267	TCGA-D3-A2JN-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
268	TCGA-D3-A1Q5-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
269	TCGA-EE-A3AH-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
270	TCGA-ER-A3EV-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
271	TCGA-FS-A1ZB-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
272	TCGA-EE-A29M-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
273	TCGA-FS-A1ZT-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
274	TCGA-D3-A3C8-06A-12D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
275	TCGA-FR-A2OS-01A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
276	TCGA-FS-A1ZU-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
277	TCGA-D9-A1X3-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
278	TCGA-ER-A195-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
279	TCGA-EE-A29E-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
280	TCGA-EB-A4OZ-01A-12D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
281	TCGA-ER-A19H-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
282	TCGA-DA-A3F3-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
283	TCGA-ER-A19F-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
284	TCGA-FS-A1ZE-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
285	TCGA-FR-A3YN-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
286	TCGA-D3-A2J8-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
287	TCGA-EB-A44R-06A-41D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
288	TCGA-ER-A199-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
289	TCGA-EE-A3AG-06A-31D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
290	TCGA-RP-A690-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
291	TCGA-FS-A1ZZ-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
292	TCGA-D3-A3MO-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
293	TCGA-EB-A5SE-01A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
294	TCGA-FW-A3TV-06A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
295	TCGA-FS-A1ZA-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
296	TCGA-D9-A4Z2-01A-11D-A24R-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
297	TCGA-FS-A1ZP-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
298	TCGA-GN-A262-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
299	TCGA-EE-A2GI-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
300	TCGA-FS-A1ZC-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
301	TCGA-D3-A1Q8-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
302	TCGA-EE-A3AA-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
303	TCGA-EE-A29C-06A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
304	TCGA-D3-A3C6-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
305	TCGA-EE-A2GM-06B-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
306	TCGA-D3-A51J-06A-11D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
307	TCGA-ER-A3ES-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
308	TCGA-DA-A1I1-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
309	TCGA-EE-A3J3-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
310	TCGA-D3-A3CB-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
311	TCGA-D3-A2JB-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
312	TCGA-FS-A1ZW-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
313	TCGA-D3-A3C7-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
314	TCGA-D3-A2JA-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
315	TCGA-EE-A2GS-06A-12D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
316	TCGA-EE-A29A-06A-12D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
317	TCGA-BF-A1PV-01A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
318	TCGA-EE-A2GB-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
319	TCGA-ER-A19A-06A-21D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
320	TCGA-D3-A2JF-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
321	TCGA-ER-A19M-06A-61D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
322	TCGA-EE-A20H-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
323	TCGA-EE-A2MF-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
324	TCGA-GF-A6C8-06A-12D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
325	TCGA-FS-A1Z7-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
326	TCGA-FS-A1ZQ-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
327	TCGA-D9-A3Z4-01A-11D-A23B-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
328	TCGA-D9-A4Z6-01A-12D-A25O-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
329	TCGA-D3-A2J6-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
330	TCGA-GN-A266-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
331	TCGA-D3-A3MU-06A-11D-A21A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
332	TCGA-EE-A183-06A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
333	TCGA-EB-A5UL-06A-11D-A30X-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
334	TCGA-D3-A5GR-06A-11D-A27K-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
335	TCGA-HR-A2OH-01A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
336	TCGA-EE-A2GC-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
337	TCGA-EE-A2MD-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
338	TCGA-EB-A1NK-01A-11D-A196-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
339	TCGA-DA-A1I0-06A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
340	TCGA-DA-A1I8-06A-11D-A197-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
341	TCGA-D3-A1Q9-06A-11D-A19A-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
342	TCGA-BF-A3DM-01A-11D-A20D-08	Skin	CutaneousMelanoma	TCGA	Firebrowse
343	ME001	Skin	CutaneousMelanoma	nonTCGA	Study58
344	ME002	Skin	CutaneousMelanoma	nonTCGA	Study58
345	ME009	Skin	CutaneousMelanoma	nonTCGA	Study58
346	ME010	Skin	CutaneousMelanoma	nonTCGA	Study58
347	ME011	Skin	CutaneousMelanoma	nonTCGA	Study58
348	ME012	Skin	CutaneousMelanoma	nonTCGA	Study58
349	ME014	Skin	CutaneousMelanoma	nonTCGA	Study58
350	ME015	Skin	CutaneousMelanoma	nonTCGA	Study58
351	ME016	Skin	CutaneousMelanoma	nonTCGA	Study58
352	ME017	Skin	CutaneousMelanoma	nonTCGA	Study58
353	ME018	Skin	CutaneousMelanoma	nonTCGA	Study58
354	ME020	Skin	CutaneousMelanoma	nonTCGA	Study58
355	ME021	Skin	CutaneousMelanoma	nonTCGA	Study58
356	ME024	Skin	CutaneousMelanoma	nonTCGA	Study58
357	ME029	Skin	CutaneousMelanoma	nonTCGA	Study58
358	ME030	Skin	CutaneousMelanoma	nonTCGA	Study58
359	ME032	Skin	CutaneousMelanoma	nonTCGA	Study58
360	ME033	Skin	CutaneousMelanoma	nonTCGA	Study58
361	ME034	Skin	CutaneousMelanoma	nonTCGA	Study58
362	ME035	Skin	CutaneousMelanoma	nonTCGA	Study58
363	ME037	Skin	CutaneousMelanoma	nonTCGA	Study58
364	ME041	Skin	CutaneousMelanoma	nonTCGA	Study58
365	ME043	Skin	CutaneousMelanoma	nonTCGA	Study58
366	ME044	Skin	CutaneousMelanoma	nonTCGA	Study58
367	ME045	Skin	CutaneousMelanoma	nonTCGA	Study58
368	ME048	Skin	CutaneousMelanoma	nonTCGA	Study58
369	ME049	Skin	CutaneousMelanoma	nonTCGA	Study58
370	ME050	Skin	CutaneousMelanoma	nonTCGA	Study58
371	MEL-13447	Skin	CutaneousMelanoma	nonTCGA	Study58
372	MEL-13456	Skin	CutaneousMelanoma	nonTCGA	Study58
373	MEL-13463	Skin	CutaneousMelanoma	nonTCGA	Study58
374	MEL-13468	Skin	CutaneousMelanoma	nonTCGA	Study58
375	MEL-13473	Skin	CutaneousMelanoma	nonTCGA	Study58
376	MEL-13531	Skin	CutaneousMelanoma	nonTCGA	Study58
377	MEL-13537	Skin	CutaneousMelanoma	nonTCGA	Study58
378	MEL-13543	Skin	CutaneousMelanoma	nonTCGA	Study58
379	MEL-13549	Skin	CutaneousMelanoma	nonTCGA	Study58
380	MEL-13560	Skin	CutaneousMelanoma	nonTCGA	Study58
381	MEL-13561	Skin	CutaneousMelanoma	nonTCGA	Study58
382	MEL-13567	Skin	CutaneousMelanoma	nonTCGA	Study58
383	MEL-13575	Skin	CutaneousMelanoma	nonTCGA	Study58
384	MEL-13591	Skin	CutaneousMelanoma	nonTCGA	Study58
385	MEL-13600	Skin	CutaneousMelanoma	nonTCGA	Study58
386	Mel-BRAFi-03	Skin	CutaneousMelanoma	nonTCGA	Study58
387	Mel_BRAFi_02_PRE	Skin	CutaneousMelanoma	nonTCGA	Study58
388	YUAKER	Skin	CutaneousMelanoma	nonTCGA	Study59
389	YUAVEY	Skin	CutaneousMelanoma	nonTCGA	Study59
390	YUBAN	Skin	CutaneousMelanoma	nonTCGA	Study59
391	YUBARON	Skin	CutaneousMelanoma	nonTCGA	Study59
392	YUBEM	Skin	CutaneousMelanoma	nonTCGA	Study59
393	YUBER	Skin	CutaneousMelanoma	nonTCGA	Study59
394	YUBOO	Skin	CutaneousMelanoma	nonTCGA	Study59
395	YUBOT	Skin	CutaneousMelanoma	nonTCGA	Study59
396	YUBRUSE	Skin	CutaneousMelanoma	nonTCGA	Study59
397	YUCHIME	Skin	CutaneousMelanoma	nonTCGA	Study59
398	YUCHUFA	Skin	CutaneousMelanoma	nonTCGA	Study59
399	YUCLAT	Skin	CutaneousMelanoma	nonTCGA	Study59
400	YUCRENA	Skin	CutaneousMelanoma	nonTCGA	Study59
401	YUCROFT	Skin	CutaneousMelanoma	nonTCGA	Study59
402	YUDAB	Skin	CutaneousMelanoma	nonTCGA	Study59
403	YUDARE	Skin	CutaneousMelanoma	nonTCGA	Study59
404	YUDATE	Skin	CutaneousMelanoma	nonTCGA	Study59
405	YUDEDE	Skin	CutaneousMelanoma	nonTCGA	Study59
406	YUDEXA	Skin	CutaneousMelanoma	nonTCGA	Study59
407	YUDIALE	Skin	CutaneousMelanoma	nonTCGA	Study59
408	YUDUTY	Skin	CutaneousMelanoma	nonTCGA	Study59
409	YUFARCI	Skin	CutaneousMelanoma	nonTCGA	Study59
410	YUFISO	Skin	CutaneousMelanoma	nonTCGA	Study59
411	YUFLA	Skin	CutaneousMelanoma	nonTCGA	Study59
412	YUFOLD	Skin	CutaneousMelanoma	nonTCGA	Study59
413	YUGADID	Skin	CutaneousMelanoma	nonTCGA	Study59
414	YUGAFFE	Skin	CutaneousMelanoma	nonTCGA	Study59
415	YUGASP	Skin	CutaneousMelanoma	nonTCGA	Study59
416	YUGISMO	Skin	CutaneousMelanoma	nonTCGA	Study59
417	YUGLIDE	Skin	CutaneousMelanoma	nonTCGA	Study59
418	YUGOE	Skin	CutaneousMelanoma	nonTCGA	Study59
419	YUHEF	Skin	CutaneousMelanoma	nonTCGA	Study59
420	YUHIMO	Skin	CutaneousMelanoma	nonTCGA	Study59
421	YUHOIN	Skin	CutaneousMelanoma	nonTCGA	Study59
422	YUHOOD	Skin	CutaneousMelanoma	nonTCGA	Study59
423	YUHUY	Skin	CutaneousMelanoma	nonTCGA	Study59
424	YUIRI	Skin	CutaneousMelanoma	nonTCGA	Study59
425	YUISKIA	Skin	CutaneousMelanoma	nonTCGA	Study59
426	YUKADI	Skin	CutaneousMelanoma	nonTCGA	Study59
427	YUKIL	Skin	CutaneousMelanoma	nonTCGA	Study59
428	YUKLAB	Skin	CutaneousMelanoma	nonTCGA	Study59
429	YUKRIN	Skin	CutaneousMelanoma	nonTCGA	Study59
430	YULAN	Skin	CutaneousMelanoma	nonTCGA	Study59
431	YULAPE	Skin	CutaneousMelanoma	nonTCGA	Study59
432	YULAXER	Skin	CutaneousMelanoma	nonTCGA	Study59
433	YULLON	Skin	CutaneousMelanoma	nonTCGA	Study59
434	YULOMA	Skin	CutaneousMelanoma	nonTCGA	Study59
435	YULVER	Skin	CutaneousMelanoma	nonTCGA	Study59
436	YUMER	Skin	CutaneousMelanoma	nonTCGA	Study59
437	YUMOOK	Skin	CutaneousMelanoma	nonTCGA	Study59
438	YUMOYA	Skin	CutaneousMelanoma	nonTCGA	Study59
439	YUMUDE	Skin	CutaneousMelanoma	nonTCGA	Study59
440	YUMUT	Skin	CutaneousMelanoma	nonTCGA	Study59
441	YUNACK	Skin	CutaneousMelanoma	nonTCGA	Study59
442	YUNEON	Skin	CutaneousMelanoma	nonTCGA	Study59
443	YUNOCA	Skin	CutaneousMelanoma	nonTCGA	Study59
444	YUNUFF	Skin	CutaneousMelanoma	nonTCGA	Study59
445	YUNUVO	Skin	CutaneousMelanoma	nonTCGA	Study59
446	YUPAL	Skin	CutaneousMelanoma	nonTCGA	Study59
447	YUPAT	Skin	CutaneousMelanoma	nonTCGA	Study59
448	YUPEET	Skin	CutaneousMelanoma	nonTCGA	Study59
449	YUPER	Skin	CutaneousMelanoma	nonTCGA	Study59
450	YUPORCH	Skin	CutaneousMelanoma	nonTCGA	Study59
451	YUPRO	Skin	CutaneousMelanoma	nonTCGA	Study59
452	YUPROST	Skin	CutaneousMelanoma	nonTCGA	Study59
453	YURDE	Skin	CutaneousMelanoma	nonTCGA	Study59
454	YURED	Skin	CutaneousMelanoma	nonTCGA	Study59
455	YURIDA	Skin	CutaneousMelanoma	nonTCGA	Study59
456	YURIF	Skin	CutaneousMelanoma	nonTCGA	Study59
457	YURKEN	Skin	CutaneousMelanoma	nonTCGA	Study59
458	YURTHE	Skin	CutaneousMelanoma	nonTCGA	Study59
459	YURUB	Skin	CutaneousMelanoma	nonTCGA	Study59
460	YURUS	Skin	CutaneousMelanoma	nonTCGA	Study59
461	YUSAG	Skin	CutaneousMelanoma	nonTCGA	Study59
462	YUSAN	Skin	CutaneousMelanoma	nonTCGA	Study59
463	YUSARI	Skin	CutaneousMelanoma	nonTCGA	Study59
464	YUSCO	Skin	CutaneousMelanoma	nonTCGA	Study59
465	YUSEL	Skin	CutaneousMelanoma	nonTCGA	Study59
466	YUSOT	Skin	CutaneousMelanoma	nonTCGA	Study59
467	YUSUBA	Skin	CutaneousMelanoma	nonTCGA	Study59
468	YUSWI	Skin	CutaneousMelanoma	nonTCGA	Study59
469	YUTEPA	Skin	CutaneousMelanoma	nonTCGA	Study59
470	YUTRIP	Skin	CutaneousMelanoma	nonTCGA	Study59
471	YUVAIL	Skin	CutaneousMelanoma	nonTCGA	Study59
472	YUVEDO	Skin	CutaneousMelanoma	nonTCGA	Study59
473	YUWAGE	Skin	CutaneousMelanoma	nonTCGA	Study59
474	YUWALI	Skin	CutaneousMelanoma	nonTCGA	Study59
475	YUWAND	Skin	CutaneousMelanoma	nonTCGA	Study59
476	YUWHIM	Skin	CutaneousMelanoma	nonTCGA	Study59
477	YUZEST	Skin	CutaneousMelanoma	nonTCGA	Study59
478	YUZINO	Skin	CutaneousMelanoma	nonTCGA	Study59
479	11M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
480	12M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
481	19M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
482	35M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
483	37M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
484	40M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
485	46M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
486	49M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
487	53M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
488	71M	Skin	DesmoplasticMelanoma	nonTCGA	Study60
489	Au10	Skin	DesmoplasticMelanoma	nonTCGA	Study60
490	Au1	Skin	DesmoplasticMelanoma	nonTCGA	Study60
491	Au2	Skin	DesmoplasticMelanoma	nonTCGA	Study60
492	Au3	Skin	DesmoplasticMelanoma	nonTCGA	Study60
493	Au4	Skin	DesmoplasticMelanoma	nonTCGA	Study60
494	Au5	Skin	DesmoplasticMelanoma	nonTCGA	Study60
495	Au6	Skin	DesmoplasticMelanoma	nonTCGA	Study60
496	Au7	Skin	DesmoplasticMelanoma	nonTCGA	Study60
497	Au8	Skin	DesmoplasticMelanoma	nonTCGA	Study60
498	Au9	Skin	DesmoplasticMelanoma	nonTCGA	Study60
499	MEL-IPI_Pat02-Tumor-SM-4DJZX	Skin	CutaneousMelanoma	nonTCGA	Study61
500	MEL-IPI_Pat03-Tumor-SM-4DJZY	Skin	CutaneousMelanoma	nonTCGA	Study61
501	MEL-IPI_Pat04-Tumor-SM-4DJZZ	Skin	CutaneousMelanoma	nonTCGA	Study61
502	MEL-IPI_Pat06-Tumor-SM-4DK12	Skin	CutaneousMelanoma	nonTCGA	Study61
503	MEL-IPI_Pat07-Tumor-SM-4DK13	Skin	CutaneousMelanoma	nonTCGA	Study61
504	MEL-IPI_Pat08-Tumor-SM-4DK14	Skin	CutaneousMelanoma	nonTCGA	Study61
505	MEL-IPI_Pat100-Tumor-SM-53U2D	Skin	CutaneousMelanoma	nonTCGA	Study61
506	MEL-IPI_Pat103-Tumor-SM-4CU6Q	Skin	CutaneousMelanoma	nonTCGA	Study61
507	MEL-IPI_Pat104-Tumor-SM-4CU6R	Skin	CutaneousMelanoma	nonTCGA	Study61
508	MEL-IPI_Pat105-Tumor-SM-4CU6S	Skin	CutaneousMelanoma	nonTCGA	Study61
509	MEL-IPI_Pat106-Tumor-SM-4CU6T	Skin	CutaneousMelanoma	nonTCGA	Study61
510	MEL-IPI_Pat109-Tumor-SM-4CU6W	Skin	CutaneousMelanoma	nonTCGA	Study61
511	MEL-IPI_Pat11-Tumor-SM-4DK17	Skin	CutaneousMelanoma	nonTCGA	Study61
512	MEL-IPI_Pat110-Tumor-SM-4CU6X	Skin	CutaneousMelanoma	nonTCGA	Study61
513	MEL-IPI_Pat113-Tumor-SM-4CU71	Skin	CutaneousMelanoma	nonTCGA	Study61
514	MEL-IPI_Pat115-Tumor-SM-5X2QS	Skin	CutaneousMelanoma	nonTCGA	Study61
515	MEL-IPI_Pat117-Tumor-SM-5X2QU	Skin	CutaneousMelanoma	nonTCGA	Study61
516	MEL-IPI_Pat118-Tumor-SM-5X2QV	Skin	CutaneousMelanoma	nonTCGA	Study61
517	MEL-IPI_Pat119-Tumor-SM-7459N	Skin	CutaneousMelanoma	nonTCGA	Study61
518	MEL-IPI_Pat121-Tumor-SM-7459K	Skin	CutaneousMelanoma	nonTCGA	Study61
519	MEL-IPI_Pat123-Tumor-SM-5X2R1	Skin	CutaneousMelanoma	nonTCGA	Study61
520	MEL-IPI_Pat126-Tumor-SM-5X2R4	Skin	CutaneousMelanoma	nonTCGA	Study61
521	MEL-IPI_Pat127-Tumor-SM-5X2R5	Skin	CutaneousMelanoma	nonTCGA	Study61
522	MEL-IPI_Pat128-Tumor-SM-5X2R6	Skin	CutaneousMelanoma	nonTCGA	Study61
523	MEL-IPI_Pat129-Tumor-SM-5X2R7	Skin	CutaneousMelanoma	nonTCGA	Study61
524	MEL-IPI_Pat13-Tumor-SM-4DK19	Skin	CutaneousMelanoma	nonTCGA	Study61
525	MEL-IPI_Pat130-Tumor-SM-5X2R8	Skin	CutaneousMelanoma	nonTCGA	Study61
526	MEL-IPI_Pat131-Tumor-SM-5X2R9	Skin	CutaneousMelanoma	nonTCGA	Study61
527	MEL-IPI_Pat133-Tumor-SM-7A14Z	Skin	CutaneousMelanoma	nonTCGA	Study61
528	MEL-IPI_Pat138-Tumor-SM-5VWJG	Skin	CutaneousMelanoma	nonTCGA	Study61
529	MEL-IPI_Pat139-Tumor-SM-5VWJH	Skin	CutaneousMelanoma	nonTCGA	Study61
530	MEL-IPI_Pat14-Tumor-SM-53U3C	Skin	CutaneousMelanoma	nonTCGA	Study61
531	MEL-IPI_Pat140-Tumor-SM-5VWJI	Skin	CutaneousMelanoma	nonTCGA	Study61
532	MEL-IPI_Pat143-Tumor-SM-7A156	Skin	CutaneousMelanoma	nonTCGA	Study61
533	MEL-IPI_Pat147-Tumor-SM-7A158	Skin	CutaneousMelanoma	nonTCGA	Study61
534	MEL-IPI_Pat148-Tumor-SM-5VWJQ	Skin	CutaneousMelanoma	nonTCGA	Study61
535	MEL-IPI_Pat15-Tumor-SM-4DK1B	Skin	CutaneousMelanoma	nonTCGA	Study61
536	MEL-IPI_Pat151-Tumor-SM-7A15A	Skin	CutaneousMelanoma	nonTCGA	Study61
537	MEL-IPI_Pat157-Tumor-SM-7A15B	Skin	CutaneousMelanoma	nonTCGA	Study61
538	MEL-IPI_Pat159-Tumor-SM-5VWK2	Skin	CutaneousMelanoma	nonTCGA	Study61
539	MEL-IPI_Pat16-Tumor-SM-53U3E	Skin	CutaneousMelanoma	nonTCGA	Study61
540	MEL-IPI_Pat160-Tumor-SM-5VWK3	Skin	CutaneousMelanoma	nonTCGA	Study61
541	MEL-IPI_Pat162-Tumor-SM-7A15D	Skin	CutaneousMelanoma	nonTCGA	Study61
542	MEL-IPI_Pat163-Tumor-SM-5VWK6	Skin	CutaneousMelanoma	nonTCGA	Study61
543	MEL-IPI_Pat165-Tumor-SM-7A15F	Skin	CutaneousMelanoma	nonTCGA	Study61
544	MEL-IPI_Pat166-Tumor-SM-7A15G	Skin	CutaneousMelanoma	nonTCGA	Study61
545	MEL-IPI_Pat167-Tumor-SM-7A15H	Skin	CutaneousMelanoma	nonTCGA	Study61
546	MEL-IPI_Pat168-Tumor-SM-7A15I	Skin	CutaneousMelanoma	nonTCGA	Study61
547	MEL-IPI_Pat17-Tumor-SM-4DK1D	Skin	CutaneousMelanoma	nonTCGA	Study61
548	MEL-IPI_Pat170-Tumor-SM-5VOAZ	Skin	CutaneousMelanoma	nonTCGA	Study61
549	MEL-IPI_Pat171-Tumor-SM-5VOB1	Skin	CutaneousMelanoma	nonTCGA	Study61
550	MEL-IPI_Pat175-Tumor-SM-7A15L	Skin	CutaneousMelanoma	nonTCGA	Study61
551	MEL-IPI_Pat18-Tumor-SM-4DK1E	Skin	CutaneousMelanoma	nonTCGA	Study61
552	MEL-IPI_Pat19-Tumor-SM-4DK1F	Skin	CutaneousMelanoma	nonTCGA	Study61
553	MEL-IPI_Pat21-Tumor-SM-4DK1H	Skin	CutaneousMelanoma	nonTCGA	Study61
554	MEL-IPI_Pat24-Tumor-SM-4DK1K	Skin	CutaneousMelanoma	nonTCGA	Study61
555	MEL-IPI_Pat25-Tumor-SM-4DK1L	Skin	CutaneousMelanoma	nonTCGA	Study61
556	MEL-IPI_Pat27-Tumor-SM-4DK1N	Skin	CutaneousMelanoma	nonTCGA	Study61
557	MEL-IPI_Pat28-Tumor-SM-4DK1O	Skin	CutaneousMelanoma	nonTCGA	Study61
558	MEL-IPI_Pat29-Tumor-SM-4DK1P	Skin	CutaneousMelanoma	nonTCGA	Study61
559	MEL-IPI_Pat32-Tumor-SM-53U3T	Skin	CutaneousMelanoma	nonTCGA	Study61
560	MEL-IPI_Pat33-Tumor-SM-4DK1T	Skin	CutaneousMelanoma	nonTCGA	Study61
561	MEL-IPI_Pat36-Tumor-SM-53U3X	Skin	CutaneousMelanoma	nonTCGA	Study61
562	MEL-IPI_Pat37-Tumor-SM-53U3Y	Skin	CutaneousMelanoma	nonTCGA	Study61
563	MEL-IPI_Pat38-Tumor-SM-53U3Z	Skin	CutaneousMelanoma	nonTCGA	Study61
564	MEL-IPI_Pat39-Tumor-SM-4DK1Z	Skin	CutaneousMelanoma	nonTCGA	Study61
565	MEL-IPI_Pat40-Tumor-SM-4DK21	Skin	CutaneousMelanoma	nonTCGA	Study61
566	MEL-IPI_Pat41-Tumor-SM-4DK22	Skin	CutaneousMelanoma	nonTCGA	Study61
567	MEL-IPI_Pat43-Tumor-SM-4DK24	Skin	CutaneousMelanoma	nonTCGA	Study61
568	MEL-IPI_Pat44-Tumor-SM-4DK25	Skin	CutaneousMelanoma	nonTCGA	Study61
569	MEL-IPI_Pat45-Tumor-SM-4DK26	Skin	CutaneousMelanoma	nonTCGA	Study61
570	MEL-IPI_Pat46-Tumor-SM-53U48	Skin	CutaneousMelanoma	nonTCGA	Study61
571	MEL-IPI_Pat47-Tumor-SM-4DK28	Skin	CutaneousMelanoma	nonTCGA	Study61
572	MEL-IPI_Pat49-Tumor-SM-4DK2A	Skin	CutaneousMelanoma	nonTCGA	Study61
573	MEL-IPI_Pat50-Tumor-SM-53U69	Skin	CutaneousMelanoma	nonTCGA	Study61
574	MEL-IPI_Pat54-Tumor-SM-4DK2F	Skin	CutaneousMelanoma	nonTCGA	Study61
